                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0471,                0.54496,                 1.0955,                0.97457,                0.87577,                 0.9179,                0.68419,                 0.9835,                0.40948,                 1.1553,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0348,                0.52919,                 1.0936,                0.97939,                0.87166,                0.92166,                0.68572,                 1.0083,                0.40755,                 1.1626,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0075,                0.51824,                 1.0842,                0.96432,                0.87885,                0.92128,                0.69106,                0.99206,                0.40312,                 1.1559,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0106,                0.51774,                 1.0761,                 0.9781,                 0.8714,                0.92072,                0.68129,                 1.0041,                0.40638,                  1.165,               0.000614,               0.000614,               0.000614
                     72,                  1.004,                0.51056,                 1.0735,                0.97931,                0.87484,                0.92269,                0.68538,                 1.0075,                0.41046,                 1.1706,              0.0005942,              0.0005942,              0.0005942
                     73,                0.99378,                0.51115,                 1.0825,                0.97668,                 0.8809,                0.91625,                0.67083,                 1.0078,                0.41259,                 1.1667,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0015,                0.51241,                 1.0727,                0.97581,                0.87782,                  0.916,                0.67989,                0.97272,                0.40371,                 1.1517,              0.0005546,              0.0005546,              0.0005546
                     75,                0.98914,                0.50357,                 1.0639,                0.97866,                0.87372,                0.91833,                0.68512,                0.99845,                0.40538,                 1.1632,              0.0005348,              0.0005348,              0.0005348
                     76,                0.99439,                0.50478,                 1.0676,                0.98028,                0.87782,                0.91656,                0.69216,                0.96636,                0.39812,                 1.1433,               0.000515,               0.000515,               0.000515
                     77,                0.99265,                  0.509,                 1.0754,                0.98259,                0.87885,                0.91581,                0.67368,                 1.0047,                0.39876,                 1.1678,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0018,                0.50195,                 1.0807,                0.97605,                0.87885,                0.91813,                0.68763,                0.99744,                0.40072,                 1.1577,              0.0004754,              0.0004754,              0.0004754
                     79,                0.98352,                0.50154,                  1.068,                 0.9794,                0.87882,                0.92072,                0.68452,                0.99086,                0.40057,                 1.1524,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.9819,                 0.5005,                 1.0736,                0.98152,                0.87269,                0.92263,                0.69272,                0.98606,                0.39888,                 1.1561,              0.0004358,              0.0004358,              0.0004358
